The following timings are the average of 30 tests:
Integers 	 Seconds
1 	  0.000080900
1 	  0.000063633
1 	  0.000051667
1 	  0.000038667
1 	  0.000039900
1 	  0.000039467
1 	  0.000038533
1 	  0.000038200
1 	  0.000039600
1 	  0.000039033
1 	  0.000038767
1 	  0.000040000
1 	  0.000039867
1 	  0.000036667
1 	  0.000036800
1 	  0.000036767
1 	  0.000037300
1 	  0.000036833
1 	  0.000037800
1 	  0.000037200
1 	  0.000036867
1 	  0.000037067
1 	  0.000037067
1 	  0.000036367
1 	  0.000036567
1 	  0.000036200
1 	  0.000036867
2 	  0.000036667
2 	  0.000036600
2 	  0.000036833
2 	  0.000036800
2 	  0.000037033
3 	  0.000036767
3 	  0.000037233
3 	  0.000036467
3 	  0.000036267
3 	  0.000037867
4 	  0.000036700
4 	  0.000036500
4 	  0.000036667
4 	  0.000036567
4 	  0.000036767
5 	  0.000037600
5 	  0.000037167
5 	  0.000037500
5 	  0.000038133
6 	  0.000038300
6 	  0.000038367
6 	  0.000037800
6 	  0.000037700
7 	  0.000037733
7 	  0.000038233
7 	  0.000037767
8 	  0.000037233
8 	  0.000038100
8 	  0.000037867
9 	  0.000038067
9 	  0.000037800
9 	  0.000038267
10 	  0.000037933
10 	  0.000038133
10 	  0.000038200
11 	  0.000038000
11 	  0.000037700
11 	  0.000037733
12 	  0.000038133
12 	  0.000038200
12 	  0.000037933
13 	  0.000038267
13 	  0.000037967
14 	  0.000038533
14 	  0.000038200
14 	  0.000038500
15 	  0.000038333
15 	  0.000038300
16 	  0.000038400
16 	  0.000038600
16 	  0.000038233
17 	  0.000038667
17 	  0.000039033
18 	  0.000038567
18 	  0.000038400
19 	  0.000038500
19 	  0.000038733
20 	  0.000038900
20 	  0.000038967
20 	  0.000039067
21 	  0.000038733
21 	  0.000038900
22 	  0.000039800
22 	  0.000039500
23 	  0.000039500
23 	  0.000039700
24 	  0.000039800
24 	  0.000039567
25 	  0.000039733
25 	  0.000039467
26 	  0.000039533
26 	  0.000039467
27 	  0.000039733
28 	  0.000039500
28 	  0.000039000
29 	  0.000039867
29 	  0.000039900
30 	  0.000039767
30 	  0.000039633
31 	  0.000040133
31 	  0.000039600
32 	  0.000039833
33 	  0.000040200
33 	  0.000040467
34 	  0.000040167
34 	  0.000040333
35 	  0.000040700
36 	  0.000040900
36 	  0.000040867
37 	  0.000040800
37 	  0.000040800
38 	  0.000040967
39 	  0.000041100
39 	  0.000041733
40 	  0.000041067
41 	  0.000041600
41 	  0.000041533
42 	  0.000041367
43 	  0.000041700
43 	  0.000041533
44 	  0.000041767
45 	  0.000042033
45 	  0.000041900
46 	  0.000042000
47 	  0.000042433
47 	  0.000042300
48 	  0.000042633
49 	  0.000043000
49 	  0.000042733
50 	  0.000042833
51 	  0.000042867
51 	  0.000042867
52 	  0.000042967
53 	  0.000043467
54 	  0.000043733
54 	  0.000043333
55 	  0.000043267
56 	  0.000044200
57 	  0.000044433
57 	  0.000044233
58 	  0.000044333
59 	  0.000044500
60 	  0.000044267
60 	  0.000044333
61 	  0.000044433
62 	  0.000044667
63 	  0.000044900
63 	  0.000045000
64 	  0.000044833
65 	  0.000045233
66 	  0.000045267
67 	  0.000045433
67 	  0.000045767
68 	  0.000046233
69 	  0.000046100
70 	  0.000046267
71 	  0.000046233
72 	  0.000046467
72 	  0.000046133
73 	  0.000046267
74 	  0.000046767
75 	  0.000046400
76 	  0.000046700
77 	  0.000047233
77 	  0.000046900
78 	  0.000047167
79 	  0.000047533
80 	  0.000047500
81 	  0.000047833
82 	  0.000048167
83 	  0.000048533
83 	  0.000048233
84 	  0.000048700
85 	  0.000048267
86 	  0.000048700
87 	  0.000048900
88 	  0.000048833
89 	  0.000048833
90 	  0.000049200
91 	  0.000049100
91 	  0.000049300
92 	  0.000049233
93 	  0.000049833
94 	  0.000049533
95 	  0.000049633
96 	  0.000050233
97 	  0.000050233
98 	  0.000050367
99 	  0.000050833
100 	  0.000050967
101 	  0.000051133
102 	  0.000051100
103 	  0.000051267
104 	  0.000051300
105 	  0.000051367
106 	  0.000051533
107 	  0.000051967
108 	  0.000051900
109 	  0.000052033
110 	  0.000052500
111 	  0.000052433
112 	  0.000052567
112 	  0.000052567
113 	  0.000052700
114 	  0.000053333
115 	  0.000053400
116 	  0.000053367
118 	  0.000053600
119 	  0.000053767
120 	  0.000054233
121 	  0.000053767
122 	  0.000054033
123 	  0.000054000
124 	  0.000054233
125 	  0.000054600
126 	  0.000054700
127 	  0.000055200
128 	  0.000054933
129 	  0.000055367
130 	  0.000055167
131 	  0.000055767
132 	  0.000055933
133 	  0.000055767
134 	  0.000056433
135 	  0.000056200
136 	  0.000056233
137 	  0.000056233
138 	  0.000056500
139 	  0.000056467
141 	  0.000057067
142 	  0.000057833
143 	  0.000057367
144 	  0.000057867
145 	  0.000058133
146 	  0.000057800
147 	  0.000058267
148 	  0.000058433
149 	  0.000058033
150 	  0.000058633
152 	  0.000058867
153 	  0.000058667
154 	  0.000058633
155 	  0.000058933
156 	  0.000059200
157 	  0.000059500
158 	  0.000059767
159 	  0.000060333
161 	  0.000060400
162 	  0.000060633
163 	  0.000060900
164 	  0.000060867
165 	  0.000060867
166 	  0.000060833
167 	  0.000061367
169 	  0.000061500
170 	  0.000061300
171 	  0.000061600
172 	  0.000061867
173 	  0.000061833
174 	  0.000062200
176 	  0.000062733
177 	  0.000062800
178 	  0.000062733
179 	  0.000063233
180 	  0.000063500
182 	  0.000063300
183 	  0.000063467
184 	  0.000063067
185 	  0.000063567
186 	  0.000063833
188 	  0.000064167
189 	  0.000064433
190 	  0.000064567
191 	  0.000064533
192 	  0.000065033
194 	  0.000065533
195 	  0.000065833
196 	  0.000065733
197 	  0.000065867
198 	  0.000066000
200 	  0.000065867
201 	  0.000066200
202 	  0.000066233
203 	  0.000066233
205 	  0.000066767
206 	  0.000066867
207 	  0.000067033
208 	  0.000067467
210 	  0.000067500
211 	  0.000068100
212 	  0.000068133
213 	  0.000068167
215 	  0.000068433
216 	  0.000068500
217 	  0.000068367
218 	  0.000068533
220 	  0.000069067
221 	  0.000069533
222 	  0.000069433
223 	  0.000069733
225 	  0.000070167
226 	  0.000070333
227 	  0.000070333
229 	  0.000070867
230 	  0.000070900
231 	  0.000070967
232 	  0.000071033
234 	  0.000071433
235 	  0.000071100
236 	  0.000071400
238 	  0.000071767
239 	  0.000072200
240 	  0.000072200
242 	  0.000072933
243 	  0.000072833
244 	  0.000073133
246 	  0.000073533
247 	  0.000079800
248 	  0.000079667
249 	  0.000079867
251 	  0.000080400
252 	  0.000080000
253 	  0.000080400
255 	  0.000081100
256 	  0.000081133
257 	  0.000081400
259 	  0.000081600
260 	  0.000081900
261 	  0.000082400
263 	  0.000082200
264 	  0.000082600
265 	  0.000082767
267 	  0.000082667
268 	  0.000083133
269 	  0.000083167
271 	  0.000083333
272 	  0.000083533
274 	  0.000083900
275 	  0.000084067
276 	  0.000084067
278 	  0.000084000
279 	  0.000084767
280 	  0.000084967
282 	  0.000084867
283 	  0.000084933
284 	  0.000085400
286 	  0.000086000
287 	  0.000085533
289 	  0.000086133
290 	  0.000086167
291 	  0.000086600
293 	  0.000087067
294 	  0.000086967
295 	  0.000087067
297 	  0.000087200
298 	  0.000087333
300 	  0.000087567
301 	  0.000087733
302 	  0.000087967
304 	  0.000088467
305 	  0.000088467
307 	  0.000089033
308 	  0.000089533
309 	  0.000089367
311 	  0.000089467
312 	  0.000090000
314 	  0.000090133
315 	  0.000090100
316 	  0.000090100
318 	  0.000090900
319 	  0.000090400
321 	  0.000090667
322 	  0.000091233
323 	  0.000091367
325 	  0.000091900
326 	  0.000092133
328 	  0.000092300
329 	  0.000092333
331 	  0.000092467
332 	  0.000092567
333 	  0.000092667
335 	  0.000093500
336 	  0.000093433
338 	  0.000094000
339 	  0.000094100
341 	  0.000094633
342 	  0.000094567
343 	  0.000094800
345 	  0.000095000
346 	  0.000094900
348 	  0.000096400
349 	  0.000096600
351 	  0.000097167
352 	  0.000097300
354 	  0.000102433
355 	  0.000102167
356 	  0.000102300
358 	  0.000101900
359 	  0.000101900
361 	  0.000103200
362 	  0.000103567
364 	  0.000102733
365 	  0.000102700
367 	  0.000102933
368 	  0.000102867
369 	  0.000102700
371 	  0.000103167
372 	  0.000103200
374 	  0.000102867
375 	  0.000103067
377 	  0.000103400
378 	  0.000103333
380 	  0.000103533
381 	  0.000103867
383 	  0.000103433
384 	  0.000103367
386 	  0.000103633
387 	  0.000103433
388 	  0.000103533
390 	  0.000104033
391 	  0.000104067
393 	  0.000105467
394 	  0.000105433
396 	  0.000105967
397 	  0.000105500
399 	  0.000105867
400 	  0.000105533
402 	  0.000104567
403 	  0.000104567
405 	  0.000104567
406 	  0.000104733
408 	  0.000104700
409 	  0.000104533
411 	  0.000104867
412 	  0.000105233
414 	  0.000104100
415 	  0.000104700
417 	  0.000104733
418 	  0.000104300
419 	  0.000104400
421 	  0.000104767
422 	  0.000104967
424 	  0.000105100
425 	  0.000104567
427 	  0.000104833
428 	  0.000104633
430 	  0.000105100
431 	  0.000104167
433 	  0.000105200
434 	  0.000104533
436 	  0.000105467
437 	  0.000104000
439 	  0.000105033
440 	  0.000105300
442 	  0.000105233
443 	  0.000105100
445 	  0.000105467
446 	  0.000105800
448 	  0.000106733
