make: Nothing to be done for 'all'.
PA1 timing test
srun -N2 PA1 100000 30 100
The following timings are the average of 30 tests:
Integers 	 Seconds
1 	  0.000064400
30 	  0.000056400
120 	  0.000069667
269 	  0.000107833
476 	  0.000104833
739 	  0.000118967
1057 	  0.000132433
1429 	  0.000159367
1853 	  0.000189767
2329 	  0.000219133
2854 	  0.000257133
3429 	  0.000296533
4051 	  0.000340500
4720 	  0.000388567
5433 	  0.000437333
6191 	  0.000489533
6991 	  0.000544667
7833 	  0.000600400
8715 	  0.000668767
9636 	  0.000725933
10594 	  0.000795067
11589 	  0.000865300
12620 	  0.000931700
13684 	  0.001007233
14781 	  0.001078433
15910 	  0.001160133
17068 	  0.001240667
18256 	  0.001319800
19472 	  0.001404500
20715 	  0.001490233
21982 	  0.001570600
23274 	  0.001662400
24589 	  0.001752467
25925 	  0.001857267
27282 	  0.001939967
28658 	  0.002032533
30052 	  0.002129000
31463 	  0.002217633
32889 	  0.002371033
34329 	  0.002471733
35782 	  0.002571367
37247 	  0.002669833
38723 	  0.002771200
40208 	  0.002881467
41700 	  0.002978533
43200 	  0.003084033
44705 	  0.003187833
46215 	  0.003291500
47727 	  0.003480000
49242 	  0.003829033
50757 	  0.003872333
52272 	  0.003872300
53784 	  0.004153833
55294 	  0.004158867
56799 	  0.004158900
58299 	  0.004440867
59791 	  0.004445200
61276 	  0.004455033
62752 	  0.004727500
64217 	  0.004732100
65670 	  0.004756500
67110 	  0.005018767
68536 	  0.005101600
69947 	  0.005303633
71341 	  0.005314000
72717 	  0.005452067
74074 	  0.005590433
75410 	  0.005595733
76725 	  0.005738800
78017 	  0.005791500
79284 	  0.005882000
80527 	  0.006025700
81743 	  0.006116600
82931 	  0.006168600
84089 	  0.006307667
85218 	  0.006355367
86315 	  0.006436667
87379 	  0.006455333
88410 	  0.006608633
89405 	  0.006713767
90363 	  0.006733033
91284 	  0.006742067
92166 	  0.006795033
93008 	  0.007014800
93808 	  0.007029167
94566 	  0.007058000
95279 	  0.007134300
95948 	  0.007267733
96570 	  0.007454633
97145 	  0.007454233
97670 	  0.007454200
98146 	  0.007454433
98570 	  0.007454467
98942 	  0.007454333
99260 	  0.007454533
99523 	  0.007454467
99730 	  0.007483100
99879 	  0.007511800
99969 	  0.007530433
100000 	  0.007531367
