Sequential
Image Dimensions	Time(s)
16384x16384	51.4813
16384x16384	53.466
16384x16384	53.4603
16384x16384	51.4688
16384x16384	53.4859
16384x16384	53.4614
16384x16384	51.4889
16384x16384	51.5055
16384x16384	53.4637
16384x16384	51.5049
2048x2048	0.805472
2048x2048	0.808872
2048x2048	0.806955
2048x2048	0.806312
2048x2048	0.805356
2048x2048	0.806404
2048x2048	0.838995
2048x2048	0.838564
2048x2048	0.837867
2048x2048	0.837394
32768x32768	205.912
32768x32768	213.924
32768x32768	213.931
32768x32768	206.007
32768x32768	205.895
32768x32768	205.897
32768x32768	213.95
32768x32768	205.89
32768x32768	213.893
32768x32768	213.93
32768x32768	206.018
512x512	0.055488
512x512	0.053158
512x512	0.053213
512x512	0.050542
512x512	0.052633
512x512	0.053246
512x512	0.053082
512x512	0.050553
512x512	0.050912
512x512	0.051511
8192x8192	12.8725
8192x8192	12.874
8192x8192	12.8727
8192x8192	12.8753
8192x8192	12.8679
8192x8192	12.8676
8192x8192	13.3679
8192x8192	13.371
8192x8192	13.3677
8192x8192	13.3675
